split,method,threshold,accuracy,precision_macro,recall_macro,macro_f1,safe_to_phone,phone_to_safe,confusion_matrix
validation,adaptive_fusion,0.61,0.83556,0.70344,0.77017,0.7267,11,26,"[[23, 11], [26, 165]]"
validation,adaptive_fusion,0.62,0.83111,0.69857,0.76755,0.7219,11,27,"[[23, 11], [27, 164]]"
validation,adaptive_fusion,0.63,0.81778,0.68877,0.77179,0.71288,10,31,"[[24, 10], [31, 160]]"
validation,adaptive_fusion,0.64,0.81333,0.6847,0.76917,0.70833,10,32,"[[24, 10], [32, 159]]"
validation,adaptive_fusion,0.65,0.80889,0.68476,0.77864,0.70859,9,34,"[[25, 9], [34, 157]]"
validation,adaptive_fusion,0.66,0.80444,0.68106,0.77602,0.70416,9,35,"[[25, 9], [35, 156]]"
validation,adaptive_fusion,0.67,0.77333,0.65809,0.7577,0.67446,9,42,"[[25, 9], [42, 149]]"
validation,adaptive_fusion,0.68,0.76889,0.65516,0.75508,0.67039,9,43,"[[25, 9], [43, 148]]"
validation,adaptive_fusion,0.69,0.75556,0.65177,0.75932,0.66282,8,47,"[[26, 8], [47, 144]]"
validation,adaptive_fusion,0.7,0.74667,0.65168,0.76617,0.65917,7,50,"[[27, 7], [50, 141]]"
validation,adaptive_fusion,0.71,0.74222,0.65431,0.77564,0.6593,6,52,"[[28, 6], [52, 139]]"
validation,adaptive_fusion,0.72,0.72889,0.64755,0.76779,0.64772,6,55,"[[28, 6], [55, 136]]"
validation,adaptive_fusion,0.73,0.73333,0.65489,0.78249,0.6554,5,55,"[[29, 5], [55, 136]]"
validation,adaptive_fusion,0.74,0.72889,0.65273,0.77987,0.65155,5,56,"[[29, 5], [56, 135]]"
validation,adaptive_fusion,0.75,0.71556,0.64652,0.77202,0.64014,5,59,"[[29, 5], [59, 132]]"
validation,adaptive_fusion,0.76,0.69333,0.63697,0.75893,0.62154,5,64,"[[29, 5], [64, 127]]"
validation,adaptive_fusion,0.77,0.68444,0.63901,0.76578,0.61772,4,67,"[[30, 4], [67, 124]]"
validation,adaptive_fusion,0.78,0.68444,0.63901,0.76578,0.61772,4,67,"[[30, 4], [67, 124]]"
validation,adaptive_fusion,0.79,0.66222,0.6308,0.75269,0.59957,4,72,"[[30, 4], [72, 119]]"
validation,adaptive_fusion,0.8,0.64889,0.62619,0.74484,0.58882,4,75,"[[30, 4], [75, 116]]"
validation,adaptive_fusion,0.81,0.62667,0.62512,0.74384,0.57417,3,81,"[[31, 3], [81, 110]]"
validation,adaptive_fusion,0.82,0.61778,0.62876,0.75069,0.57,2,84,"[[32, 2], [84, 107]]"
validation,adaptive_fusion,0.83,0.60889,0.62625,0.74546,0.56288,2,86,"[[32, 2], [86, 105]]"
validation,adaptive_fusion,0.84,0.57778,0.618,0.72713,0.53803,2,93,"[[32, 2], [93, 98]]"
validation,adaptive_fusion,0.85,0.54667,0.61764,0.7209,0.51558,1,101,"[[33, 1], [101, 90]]"
validation,adaptive_fusion,0.86,0.52,0.61197,0.70519,0.494,1,107,"[[33, 1], [107, 84]]"
validation,adaptive_fusion,0.87,0.47111,0.60251,0.67639,0.45385,1,118,"[[33, 1], [118, 73]]"
validation,adaptive_fusion,0.88,0.43556,0.5962,0.65545,0.4239,1,126,"[[33, 1], [126, 65]]"
validation,adaptive_fusion,0.89,0.37778,0.5865,0.62142,0.37331,1,139,"[[33, 1], [139, 52]]"
validation,adaptive_fusion,0.9,0.31111,0.57508,0.58215,0.31089,1,154,"[[33, 1], [154, 37]]"
validation,adaptive_fusion,0.91,0.26667,0.5659,0.55597,0.26614,1,164,"[[33, 1], [164, 27]]"
validation,adaptive_fusion,0.92,0.22667,0.55378,0.53241,0.22321,1,173,"[[33, 1], [173, 18]]"
validation,adaptive_fusion,0.93,0.17778,0.51354,0.50362,0.16665,1,184,"[[33, 1], [184, 7]]"
validation,adaptive_fusion,0.94,0.17333,0.57727,0.51309,0.15937,0,186,"[[34, 0], [186, 5]]"
validation,adaptive_fusion,0.95,0.16444,0.57658,0.50785,0.14828,0,188,"[[34, 0], [188, 3]]"
validation,adaptive_fusion,0.96,0.16,0.57623,0.50524,0.14266,0,189,"[[34, 0], [189, 2]]"
validation,adaptive_fusion,0.97,0.15556,0.57589,0.50262,0.13699,0,190,"[[34, 0], [190, 1]]"
validation,adaptive_fusion,0.98,0.15111,0.07556,0.5,0.13127,0,191,"[[34, 0], [191, 0]]"
validation,adaptive_fusion,0.99,0.15111,0.07556,0.5,0.13127,0,191,"[[34, 0], [191, 0]]"
test,adaptive_fusion,0.01,0.81818,0.40909,0.5,0.45,40,0,"[[0, 40], [0, 180]]"
test,adaptive_fusion,0.02,0.81818,0.40909,0.5,0.45,40,0,"[[0, 40], [0, 180]]"
test,adaptive_fusion,0.03,0.81818,0.40909,0.5,0.45,40,0,"[[0, 40], [0, 180]]"
test,adaptive_fusion,0.04,0.81818,0.40909,0.5,0.45,40,0,"[[0, 40], [0, 180]]"
test,adaptive_fusion,0.05,0.81818,0.40909,0.5,0.45,40,0,"[[0, 40], [0, 180]]"
test,adaptive_fusion,0.06,0.81818,0.40909,0.5,0.45,40,0,"[[0, 40], [0, 180]]"
test,adaptive_fusion,0.07,0.81818,0.40909,0.5,0.45,40,0,"[[0, 40], [0, 180]]"
test,adaptive_fusion,0.08,0.81818,0.40909,0.5,0.45,40,0,"[[0, 40], [0, 180]]"
test,adaptive_fusion,0.09,0.81818,0.40909,0.5,0.45,40,0,"[[0, 40], [0, 180]]"
test,adaptive_fusion,0.1,0.81818,0.40909,0.5,0.45,40,0,"[[0, 40], [0, 180]]"
test,adaptive_fusion,0.11,0.81818,0.40909,0.5,0.45,40,0,"[[0, 40], [0, 180]]"
test,adaptive_fusion,0.12,0.82273,0.91096,0.5125,0.47552,39,0,"[[1, 39], [0, 180]]"
test,adaptive_fusion,0.13,0.82273,0.91096,0.5125,0.47552,39,0,"[[1, 39], [0, 180]]"
test,adaptive_fusion,0.14,0.82273,0.91096,0.5125,0.47552,39,0,"[[1, 39], [0, 180]]"
test,adaptive_fusion,0.15,0.82273,0.91096,0.5125,0.47552,39,0,"[[1, 39], [0, 180]]"
test,adaptive_fusion,0.16,0.82273,0.91096,0.5125,0.47552,39,0,"[[1, 39], [0, 180]]"
test,adaptive_fusion,0.17,0.82727,0.91284,0.525,0.49988,38,0,"[[2, 38], [0, 180]]"
test,adaptive_fusion,0.18,0.83636,0.91667,0.55,0.54545,36,0,"[[4, 36], [0, 180]]"
test,adaptive_fusion,0.19,0.85,0.92254,0.5875,0.60695,33,0,"[[7, 33], [0, 180]]"
test,adaptive_fusion,0.2,0.85455,0.92453,0.6,0.62585,32,0,"[[8, 32], [0, 180]]"
test,adaptive_fusion,0.21,0.85455,0.92453,0.6,0.62585,32,0,"[[8, 32], [0, 180]]"
test,adaptive_fusion,0.22,0.85909,0.92654,0.6125,0.64403,31,0,"[[9, 31], [0, 180]]"
test,adaptive_fusion,0.23,0.85909,0.92654,0.6125,0.64403,31,0,"[[9, 31], [0, 180]]"
test,adaptive_fusion,0.24,0.85455,0.87619,0.60972,0.63897,31,1,"[[9, 31], [1, 179]]"
test,adaptive_fusion,0.25,0.85909,0.85303,0.63194,0.6675,29,2,"[[11, 29], [2, 178]]"
test,adaptive_fusion,0.26,0.85909,0.85303,0.63194,0.6675,29,2,"[[11, 29], [2, 178]]"
test,adaptive_fusion,0.27,0.86818,0.86748,0.65694,0.6987,27,2,"[[13, 27], [2, 178]]"
test,adaptive_fusion,0.28,0.87273,0.87377,0.66944,0.71354,26,2,"[[14, 26], [2, 178]]"
test,adaptive_fusion,0.29,0.88182,0.88504,0.69444,0.74183,24,2,"[[16, 24], [2, 178]]"
test,adaptive_fusion,0.3,0.88636,0.89015,0.70694,0.75533,23,2,"[[17, 23], [2, 178]]"
test,adaptive_fusion,0.31,0.89091,0.895,0.71944,0.76842,22,2,"[[18, 22], [2, 178]]"
test,adaptive_fusion,0.32,0.89545,0.89962,0.73194,0.78113,21,2,"[[19, 21], [2, 178]]"
test,adaptive_fusion,0.33,0.89091,0.87879,0.72917,0.77471,21,3,"[[19, 21], [3, 177]]"
test,adaptive_fusion,0.34,0.88182,0.84226,0.72361,0.7623,21,5,"[[19, 21], [5, 175]]"
test,adaptive_fusion,0.35,0.89091,0.85488,0.74861,0.7861,19,5,"[[21, 19], [5, 175]]"
test,adaptive_fusion,0.36,0.88636,0.83967,0.74583,0.77992,19,6,"[[21, 19], [6, 174]]"
test,adaptive_fusion,0.37,0.89091,0.84598,0.75833,0.79127,18,6,"[[22, 18], [6, 174]]"
test,adaptive_fusion,0.38,0.88636,0.83219,0.75556,0.78515,18,7,"[[22, 18], [7, 173]]"
test,adaptive_fusion,0.39,0.89091,0.8386,0.76806,0.79614,17,7,"[[23, 17], [7, 173]]"
test,adaptive_fusion,0.4,0.88636,0.82599,0.76528,0.79007,17,8,"[[23, 17], [8, 172]]"
test,adaptive_fusion,0.41,0.88636,0.82599,0.76528,0.79007,17,8,"[[23, 17], [8, 172]]"
test,adaptive_fusion,0.42,0.88636,0.82599,0.76528,0.79007,17,8,"[[23, 17], [8, 172]]"
test,adaptive_fusion,0.43,0.88636,0.82599,0.76528,0.79007,17,8,"[[23, 17], [8, 172]]"
test,adaptive_fusion,0.44,0.88636,0.82599,0.76528,0.79007,17,8,"[[23, 17], [8, 172]]"
test,adaptive_fusion,0.45,0.88636,0.82086,0.775,0.79471,16,9,"[[24, 16], [9, 171]]"
test,adaptive_fusion,0.46,0.89545,0.83359,0.8,0.81516,14,9,"[[26, 14], [9, 171]]"
test,adaptive_fusion,0.47,0.89545,0.83359,0.8,0.81516,14,9,"[[26, 14], [9, 171]]"
test,adaptive_fusion,0.48,0.89545,0.83359,0.8,0.81516,14,9,"[[26, 14], [9, 171]]"
test,adaptive_fusion,0.49,0.89545,0.83359,0.8,0.81516,14,9,"[[26, 14], [9, 171]]"
test,adaptive_fusion,0.5,0.9,0.83967,0.8125,0.82504,13,9,"[[27, 13], [9, 171]]"
test,adaptive_fusion,0.51,0.9,0.83967,0.8125,0.82504,13,9,"[[27, 13], [9, 171]]"
